"";"chorotype_spp";"richness_spp";"no_overlap";"Ct_max";"Ct_min";"diameter";"max_centrality";"max_betweenness"
"46";"Guiana, Guiana2, Capito niger, Corapipo gutturalis, Cyanocorax cayanus, Deconychura longicauda, Epinecrophylla gutturalis, Frederickena viridis, Galbula galbula, Gymnopithys rufigula, Hypocnemis cantator, Isleria guttata, Microcerculus bambla, Monasa atra, Ortalis motmot, Penelope marail, Perissocephalus tricolor, Phaethornis superciliosus, Lepidocolaptes albolineatus, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos vitellinus, Schiffornis olivacea, Selenidera piperivora, Todirostrum pictum, Tyranneutes virescens, Xiphorhynchus pardalotus, Tunchiornis luteifrons";29;NA;0,79;0,79;7;13;195,1
"47";"Celeus grammicus, Dacnis flaviventer, Euphonia rufiventris, Pachysylvia hypoxantha, Psarocolius yuracares, Thamnophilus schistaceus, Todirostrum chrysocrotaphum";7;NA;0,79;0,79;5;3;11
"48";"Leucopternis melanops, Microbates collaris, Phaethornis bourcieri, Pionites melanocephalus, Pithys albifrons, Psophia crepitans, Thamnomanes ardesiacus";7;NA;0,79;0,77;4;4;12
"49";"Capito auratus, Cyphos macrodactylus, Lepidothrix coronata, Pteroglossus azara, Tangara xanthogastra";5;NA;0,79;0,77;2;4;5
"50";"Inambari, Lepidocolaptes fatimalimae, Oneillornis salvini, Psophia leucoptera";4;NA;0,79;0,79;2;3;3
"51";"Akletos melanoceps, Epinecrophylla erythrura";2;NA;0,79;0,71;1;1;0
"52";"Ancistrops strigilatus, Chamaeza nobilis";2;NA;0,79;0,79;1;1;0
"53";"Cyanocorax cristatellus, Melanopareia torquata";2;NA;0,79;0,59;1;1;0
"54";"Imeri, Imeri2";2;NA;0,79;0,47;1;1;0
"55";"Isleria hauxwelli, Myrmotherula multostriata";2;NA;0,79;0,79;1;1;0
"56";"Jau, Psophia ochroptera";2;NA;0,79;0,43;1;1;0
"57";"Phylloscartes nigrifrons, Pogonotriccus chapmani";2;NA;0,79;0,71;1;1;0
"58";"Amazona farinosa, Amazona ochrocephala, Ara chloropterus, Ara macao, Atticora fasciata, Attila cinnamomeus, Automolus infuscatus, Automolus ochrolaemus, Automolus subulatus, Bucco capensis, Campephilus rubricollis, Cathartes melambrotus, Celeus elegans, Celeus flavus, Celeus grammicus, Celeus occidentalis, Cephalopterus ornatus, Cercomacra cinerascens, Chaetura brachyura, Ciccaba huhula, Campylopterus largipennis, Conopias parvus, Corythopis torquatus, Cotinga cayana, Crypturellus cinereus, Crypturellus variegatus, Cyanerpes caeruleus, Cyanoloxia rothschildii, Cymbilaimus lineatus, Cyphorhinus arada, Dacnis flaviventer, Dacnis lineata, Daptrius ater, Dendrocincla merula, Dendrocolaptes certhia, Euphonia chrysopasta, Euphonia rufiventris, Formicarius colma, Galbula dea, Glaucis hirsutus, Glyphorynchus spirurus, Heliodoxa aurescens, Heliothryx auritus, Hemithraupis flavicollis, Hydropsalis climacocerca, Hylophylax naevius, Ibycter americanus, Iodopleura isabellae, Isleria hauxwelli, Islerothraupis cristata, Jacamerops aureus, Laniocera hypopyrra, Lipaugus vociferans, Maschalethraupis surinama, Megascops watsonii, Melanerpes cruentatus, Micrastur gilvicollis, Micrastur mirandollei, Momotus momota, Monasa morphoeus, Myiobius barbatus, Myrmoborus myotherinus, Myrmophylax atrothorax, Myrmothera campanisona, Myrmotherula axillaris, Myrmotherula brachyura, Myrmotherula longipennis, Myrmotherula menetriesii, Myrmotherula multostriata, Neochen jubata, Nyctibius bracteatus, Ochthornis littoralis, Odontophorus gujanensis, Onychorhynchus coronatus, Opisthocomus hoazin, Ornithion inerme, Pachyramphus marginatus, Pachyramphus minor, Pachysylvia hypoxantha, Patagioenas subvinacea, Pharomachrus pavoninus, Philydor pyrrhodes, Piaya melanogaster, Piculus flavigula, Piprites chloris, Hylocharis cyanus, Islerothraupis luctuosa, Myiopagis cinerea, Myiornis ecaudatus, Platyrinchus coronatus, Platyrinchus platyrhynchos, Psarocolius viridis, Psarocolius yuracares, Ramphastos cuvieri, Ramphotrigon ruficauda, Rhytipterna simplex, Saltator grossus, Schiffornis turdina, Sclateria naevia, Sclerurus caudacutus, Sclerurus rufigularis, Sporophila bouvronides, Sublegatus obscurior, Synallaxis rutilans, Tangara chilensis, Tangara mexicana, Tangara velia, Terenotriccus erythrurus, Thamnophilus aethiops, Thamnophilus amazonicus, Thamnophilus murinus, Thamnophilus schistaceus, Threnetes leucurus, Tityra cayana, Todirostrum chrysocrotaphum, Tolmomyias assimilis, Tolmomyias poliocephalus, Trogon melanurus, Trogon viridis, Tyranneutes stolzmanni, Tyrannopsis sulphurea, Tyrannulus elatus, Veniliornis affinis, Willisornis poecilinotus, Xiphorhynchus guttatoides, Xiphorhynchus obsoletus, Zebrilus undulatus";127;NA;0,77;0,77;10;69;1800,7
"59";"Guiana, Guiana2, Capito niger, Corapipo gutturalis, Cyanocorax cayanus, Deconychura longicauda, Epinecrophylla gutturalis, Euchrepomis spodioptila, Frederickena viridis, Galbula galbula, Gymnopithys rufigula, Hypocnemis cantator, Isleria guttata, Microcerculus bambla, Monasa atra, Ortalis motmot, Penelope marail, Perissocephalus tricolor, Phaethornis superciliosus, Lepidocolaptes albolineatus, Pteroglossus viridis, Pyrilia caica, Pyrrhura picta, Ramphastos vitellinus, Schiffornis olivacea, Selenidera piperivora, Thamnophilus punctatus, Todirostrum pictum, Tyranneutes virescens, Veniliornis cassini, Xiphorhynchus pardalotus, Tunchiornis luteifrons";32;NA;0,77;0,77;6;14;145,2
"60";"Inambari, Eubucco aurantiicollis, Galbula cyanescens, Lepidocolaptes fatimalimae, Oneillornis salvini, Psophia leucoptera, Selenidera langsdorffii";7;NA;0,77;0,75;5;4;9
"61";"Ancistrops strigilatus, Chamaeza nobilis, Liosceles thoracicus, Ramphocelus nigrogularis";4;NA;0,77;0,77;3;2;2
"62";"Hafferia fortis, Hypocnemis peruviana, Pteroglossus humboldti, Rhegmatorhina melanosticta";4;NA;0,77;0,77;3;2;2
"63";"Ceratopipra cornuta, Mionectes roraimae";2;NA;0,77;0,71;1;1;0
"64";"Dichrozona cincta, Tinamus guttatus";2;NA;0,77;0,77;1;1;0
"65";"Myrmotherula sclateri, Picumnus aurifrons";2;NA;0,77;0,77;1;1;0
"66";"Notharchus tectus, Thamnomanes caesius";2;NA;0,77;0,77;1;1;0
